,Date,Team,Acquired,Relinquished,Notes
0,2010-08-03,Clippers,,Craig Smith,arthroscopic surgery on right knee (out indefinitely)
1,2010-08-13,Mavericks,,Rodrigue Beaubois,surgery on left foot to repair broken fifth metatarsal (out indefinitely)
2,2010-08-14,Warriors,,Ekpe Udoh,surgery on left wrist (out indefinitely)
3,2010-09-21,Raptors,,Ed Davis (a),arthroscopic surgery on right kene to repair torn meniscus (out indefinteily)
4,2010-09-21,Thunder,,Nenad Krstic,surgery on right hand to repair broken finger (out indefinitely)
5,2010-09-24,Bobcats,,Kwame Brown,sprained left ankle (out indefinitely)
6,2010-09-27,Knicks,,Eddy Curry,strained right hamstring (out indefinitely)
7,2010-09-27,Rockets,,Brad Miller,sprained left ankle (DTD)
8,2010-09-29,Magic,,Jason Williams,arthroscopic surgery on left knee (out indefinitely) (date approximate)
9,2010-10-03,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
10,2010-10-06,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
11,2010-10-06,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
12,2010-10-08,Blazers,,Jeff Pendergraph / Jeff Ayres,torn ACL in right knee (out indefinitely)
13,2010-10-08,Nets,,Troy Murphy,strained lower back (out indefinitely)
14,2010-10-08,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
15,2010-10-08,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
16,2010-10-09,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
17,2010-10-12,Bucks,,Darington Hobson,surgery on left hip (out for season)
18,2010-10-12,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
19,2010-10-17,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
20,2010-10-18,Warriors,,Louis Amundson / Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
21,2010-10-19,Suns,,Josh Childress,fractured right index finger (out indefinitely)
22,2010-10-22,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
23,2010-10-25,Thunder,,Nick Collison,left knee injury (out indefinitely)
24,2010-10-25,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
25,2010-10-26,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
26,2010-10-27,Bucks,,Jon Brockman,sprained left ankle (DNP)
27,2010-10-27,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sprained right ankle (DNP)
28,2010-10-28,Grizzlies,,Zach Randolph,back injury (DTD)
29,2010-10-28,Hawks,,Maurice Evans,right knee inflammation (DTD)
30,2010-10-28,Spurs,,Matt Bonner,sprained right ankle (DTD)
31,2010-10-29,Cavaliers,,Anderson Varejao,placed on IL for family reasons
32,2010-10-29,Heat,Mario Chalmers,,returned to lineup
33,2010-10-29,Pistons,,Will Bynum,sore right hamstring (DNP)
34,2010-10-30,Cavaliers,Anderson Varejao,,activated from IL
35,2010-10-30,Pistons,,Will Bynum,sore right hamstring (DNP)
36,2010-11-02,Pistons,,Richard Hamilton,sore right foot (DNP)
37,2010-11-02,Pistons,,Will Bynum,sore right hamstring (DNP)
38,2010-11-03,Hawks,,Jamal Crawford,turf toe (DNP)
39,2010-11-03,Jazz,,Jeremy Evans,sprained right wrist (DNP)
40,2010-11-03,Jazz,,Kyrylo Fesenko,stomach illness (DNP)
41,2010-11-03,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
42,2010-11-03,Pistons,,Richard Hamilton,sore right foot (DNP)
43,2010-11-03,Pistons,,Will Bynum,sore right hamstring (DNP)
44,2010-11-03,Warriors,,Brandan Wright,stomach virus (DTD)
45,2010-11-04,Blazers,,Elliot Williams,"dislocated patella in right knee (surgery, out for season)"
46,2010-11-05,Bucks,,Andrew Bogut,migraine headache (DNP)
47,2010-11-05,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
48,2010-11-05,Jazz,,Jeremy Evans,sprained right ankle (DNP)
49,2010-11-05,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
50,2010-11-06,Blazers,,Rudy Fernandez,back injury (DNP)
51,2010-11-06,Kings,,Luther Head,placed on IL for personal reasons
52,2010-11-06,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left groin (DNP)
53,2010-11-06,Raptors,,Sonny Weems,ankle injury (DTD)
54,2010-11-06,Spurs,,James Anderson,placed on IL for personal reasons
55,2010-11-07,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
56,2010-11-08,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
57,2010-11-08,Magic,,Mickael Pietrus,DNP
58,2010-11-08,Spurs,James Anderson,,activated from IL
59,2010-11-09,Bucks,,Carlos Delfino,strained neck (DNP)
60,2010-11-10,76ers,,Jason Kapono,placed on IL for personal reasons
61,2010-11-10,Bucks,,Carlos Delfino,strained neck (DNP)
62,2010-11-10,Clippers,,Chris Kaman,sprained left ankle (DNP)
63,2010-11-10,Hawks,,Marvin Williams,bone bruise in right knee (DNP)
64,2010-11-10,Kings,Luther Head,,activated from IL
65,2010-11-10,Raptors,,David Andersen,flu (DTD)
66,2010-11-10,Timberwolves,,Wayne Ellington,thigh injury (DTD)
67,2010-11-10,Clippers,,Eric Gordon,sore left shoulder (DNP)
68,2010-11-11,Celtics,,Jermaine O'Neal,sore left knee (DNP)
69,2010-11-11,Rockets,,Yao Ming,sprained left ankle (DTD)
70,2010-11-11,Spurs,,James Anderson,stress fracture in right foot (out indefinitely)
71,2010-11-11,Warriors,,David Lee,placed on IL with infection in left elbow
72,2010-11-12,76ers,Jason Kapono,,activated from IL
73,2010-11-12,Thunder,,Royal Ivey,placed on IL for personal reasons
74,2010-11-12,Warriors,,David Lee,surgery on left elbow to repair infection
75,2010-11-12,Clippers,,Randy Foye,strained left hamstring (DNP)
76,2010-11-13,Bobcats,,Tyrus Thomas,placed on IL (death in family)
77,2010-11-13,Bucks,,Carlos Delfino,strained neck (DNP)
78,2010-11-13,Celtics,,Jermaine O'Neal,sore left knee (DNP)
79,2010-11-13,Raptors,,Reggie Evans,flu-like symptoms (DNP)
80,2010-11-14,Rockets,,Chase Budinger,sprained left ankle (DNP)
81,2010-11-14,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
82,2010-11-14,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
83,2010-11-15,Bobcats,Tyrus Thomas,,activated from IL
84,2010-11-15,Clippers,,Randy Foye,strained left hamstring (DNP)
85,2010-11-15,Jazz,,Raja Bell,strained left abductor (DNP)
86,2010-11-15,Thunder,Royal Ivey,,activated from IL
87,2010-11-15,Timberwolves,,Nikola Pekovic,left foot injury (DNP)
88,2010-11-15,Timberwolves,,Wayne Ellington,bruised left thigh (DNP)
89,2010-11-16,Blazers,,Brandon Roy,sore left knee (DNP)
90,2010-11-16,Bucks,,Carlos Delfino,strained neck (DNP)
91,2010-11-17,Clippers,,Randy Foye,strained left hamstring (DNP)
92,2010-11-17,Jazz,,Kyrylo Fesenko,dizziness (DNP)
93,2010-11-17,Rockets,,Chase Budinger,sprained left ankle (DNP)
94,2010-11-18,Blazers,,Brandon Roy,sore left knee (DNP)
95,2010-11-18,Magic,,Jason Williams,foot injury (DTD)
96,2010-11-18,Pacers,,Mike Dunleavy Jr.,placed on IL with birth of child
97,2010-11-19,Blazers,,Greg Oden,mircofracture surgery on left knee (out for season)
98,2010-11-19,Bucks,,Carlos Delfino,strained neck (DNP)
99,2010-11-19,Heat,,Juwan Howard,broken nose (DNP)
100,2010-11-19,Knicks,,Timofey Mozgov,left calf injury (DNP)
101,2010-11-19,Warriors,,Brandan Wright,strained lower back (DNP)
102,2010-11-20,Blazers,,Brandon Roy,sore left knee (DNP)
103,2010-11-20,Bucks,,Carlos Delfino,strained neck (DNP)
104,2010-11-20,Pacers,Mike Dunleavy Jr.,,activated from IL
105,2010-11-20,Suns,,Steve Nash,strained groin (DNP)
106,2010-11-21,Wizards,,John Wall (a),sprained left foot (DNP)
107,2010-11-22,Hornets,,Marcus Thornton (T.),DNP
108,2010-11-22,Warriors,,Brandan Wright,strained lower back (DNP)
109,2010-11-23,76ers,,Jason Kapono,placed on IL for personal reasons
110,2010-11-23,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season)
111,2010-11-24,Bucks,,Andrew Bogut,sore back (DNP)
112,2010-11-24,Bucks,,Carlos Delfino,strained neck (DNP)
113,2010-11-24,Bulls,,Taj Gibson,right ankle/foot injury (DNP)
114,2010-11-24,Celtics,,Delonte West,broken right wrist (out indefinitely)
115,2010-11-24,Magic,Jason Williams,,returned to lineup
116,2010-11-24,Warriors,,Brandan Wright,strained lower back (DNP)
117,2010-11-26,Bucks,,Andrew Bogut,sore back (DNP)
118,2010-11-26,Bucks,,Carlos Delfino,strained neck (DNP)
119,2010-11-26,Grizzlies,,Hamed Haddadi,personal reasons (DTD)
120,2010-11-26,Raptors,,Reggie Evans,broken right foot (out indefinitely)
121,2010-11-26,Warriors,,Brandan Wright,strained lower back (DNP)
122,2010-11-27,Bucks,,Andrew Bogut,sore back (DNP)
123,2010-11-27,Bucks,,Corey Maggette,sore left ankle (DNP)
124,2010-11-27,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
125,2010-11-27,Wizards,,John Wall (a),bruised right knee (P) / sore left knee (CBC) (DNP)
126,2010-11-28,Blazers,,Sean Marks,sprained right ankle (DNP)
127,2010-11-28,Clippers,,Randy Foye,strained left hamstring (DNP)
128,2010-11-28,Knicks,,Toney Douglas,bruised right quadriceps (DNP)
129,2010-11-28,Lakers,,Devin Ebanks,gastroenteritis (DNP)
130,2010-11-28,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
131,2010-11-28,Raptors,,Reggie Evans,broken right foot (DNP)
132,2010-11-29,Bucks,,Andrew Bogut,sore back (DNP)
133,2010-11-29,Bucks,,Corey Maggette,illness (DNP)
134,2010-11-29,Bucks,,Drew Gooden,left foot injury (DNP)
135,2010-11-29,Wizards,,John Wall (a),bruised right knee (P) (DNP)
136,2010-11-30,Celtics,,Delonte West,surgery to repair broken right wrist
137,2010-11-30,Grizzlies,Hamed Haddadi,,returned to lineup
138,2010-11-30,Knicks,Toney Douglas,,returned to lineup
139,2010-12-01,Bucks,,Andrew Bogut,sore back (DNP)
140,2010-12-01,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
141,2010-12-02,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely)
142,2010-12-03,76ers,Jason Kapono,,activated from IL
143,2010-12-03,Hornets,,David West,stomach virus (DNP)
144,2010-12-03,Magic,,Dwight Howard,stomach virus (DNP)
145,2010-12-03,Magic,,Jameer Nelson,stomach virus (DNP)
146,2010-12-03,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
147,2010-12-03,Magic,,J.J. Redick,stomach virus (DNP)
148,2010-12-04,Magic,,Dwight Howard,stomach virus (DNP)
149,2010-12-04,Magic,,J.J. Redick,stomach virus (DNP)
150,2010-12-04,Magic,,Jameer Nelson,stomach virus (DNP)
151,2010-12-04,Magic,,Ryan Anderson,sprained right foot (DNP)
152,2010-12-04,Timberwolves,,Michael Beasley,sprained right ankle (DNP)
153,2010-12-05,Celtics,,Rajon Rondo,strained hamstring (DNP)
154,2010-12-05,Raptors,,Predrag Stojakovic / Peja Stojakovic,sore/swollen left knee (DNP)
155,2010-12-05,Thunder,,D.J. White,sprained right ankle (DTD)
156,2010-12-05,Warriors,,Rodney Carney,sprained left foot (DTD)
157,2010-12-06,Magic,,Jameer Nelson,stomach flu (DNP)
158,2010-12-06,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP)
159,2010-12-07,Pistons,,Charlie Villanueva,placed on IL for personal reasons
160,2010-12-08,Celtics,Rajon Rondo,,returned to lineup
161,2010-12-08,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
162,2010-12-08,Kings,,Samuel Dalembert,personal reasons (DNP)
163,2010-12-08,Nuggets,,Carmelo Anthony,right knee inflammation (DNP)
164,2010-12-08,Pistons,Charlie Villanueva,,activated from IL
165,2010-12-08,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
166,2010-12-08,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP)
167,2010-12-08,Wizards,,John Wall (a),sore left foot (DNP)
168,2010-12-09,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP)
169,2010-12-10,Bobcats,,Tyrus Thomas,quadriceps injury (DTD)
170,2010-12-10,Hawks,,Zaur Pachulia / Zaza Pachulia,illness (DTD)
171,2010-12-10,Jazz,,Raja Bell,groin injury (DTD)
172,2010-12-10,Raptors,,Jose Calderon,sore left foot (DTD)
173,2010-12-10,Thunder,,Nenad Krstic,back injury (DTD)
174,2010-12-10,Thunder,D.J. White,,returned to lineup
175,2010-12-10,Timberwolves,Darko Milicic,,returned to lineup
176,2010-12-10,Warriors,,Stephen Curry,sprained right ankle (DTD)
177,2010-12-11,Cavaliers,,Ryan Hollins,stomach virus (DTD)
178,2010-12-11,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP)
179,2010-12-11,Jazz,,Raja Bell,strained right abductor (DNP)
180,2010-12-11,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP)
181,2010-12-11,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
182,2010-12-12,Magic,,Chris Duhon,strained lower back (DNP)
183,2010-12-13,Jazz,,Francisco Elson,renewing visa (DNP)
184,2010-12-13,Jazz,,Raja Bell,strained right abductor (DNP)
185,2010-12-13,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely)
186,2010-12-14,Kings,,Tyreke Evans,left foot injury (DTD)
187,2010-12-14,Magic,,Mickael Pietrus,sprained left knee (DNP)
188,2010-12-14,Magic,,Quentin Richardson,sore left elbow (DNP)
189,2010-12-14,Nuggets,,Chauncey Billups,sprained right wrist (DNP)
190,2010-12-14,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
191,2010-12-15,Bucks,,John Salmons,back spasms (DNP)
192,2010-12-15,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely)
193,2010-12-15,Celtics,,Shaquille O'Neal,sore right calf (DNP)
194,2010-12-15,Heat,,Carlos Arroyo,funeral (DNP)
195,2010-12-15,Raptors,,Andrea Bargnani,sore left knee (DNP)
196,2010-12-15,Raptors,,Predrag Stojakovic / Peja Stojakovic,swollen left knee (DNP)
197,2010-12-15,Wizards,,Yi Jianlian / Jianlian Yi,sprained right knee (out indefinitely)
198,2010-12-16,Bulls,,Joakim Noah,surgery on right thumb to repair torn ligament (out indefinitely)
199,2010-12-16,Celtics,,Rajon Rondo,sprained left ankle (DNP)
200,2010-12-16,Celtics,,Shaquille O'Neal,sore right calf (DNP)
201,2010-12-16,Nets,,Anthony Morrow,strained right hamstring (DNP)
202,2010-12-16,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
203,2010-12-16,Rockets,,Yao Ming,stress fracture in left ankle (out for season)
204,2010-12-16,Spurs,,Tiago Splitter,strained right adductor (DTD)
205,2010-12-16,Wizards,,John Wallace,right knee tendinitis (DNP)
206,2010-12-17,Blazers,,Brandon Roy,sore left knee (DNP)
207,2010-12-17,Raptors,,Sonny Weems,sore lower back (DNP)
208,2010-12-18,Blazers,,Brandon Roy,sore left knee (DNP)
209,2010-12-18,Blazers,,Marcus Camby,sore right shoulder (DNP)
210,2010-12-18,Blazers,,Nicolas Batum,sore right shoulder (DNP)
211,2010-12-18,Nuggets,,Chauncey Billups,torn ligament in right wrist (DNP)
212,2010-12-18,Spurs,,George Hill,sprained right big toe (DNP)
213,2010-12-19,Celtics,,Rajon Rondo,sprained left ankle (DNP)
214,2010-12-19,Nets,,Quinton Ross,bruised lower back (DNP)
215,2010-12-19,Pistons,,Richard Hamilton,upset stomach (DNP)
216,2010-12-19,Pistons,,Rodney Stuckey,sore left big toe (DNP)
217,2010-12-19,Raptors,,Andrea Bargnani,sore right ankle (DNP)
218,2010-12-19,Raptors,,Sonny Weems,back spasms (DNP)
219,2010-12-20,Blazers,,Brandon Roy,sore left knee (DNP)
220,2010-12-20,Blazers,,Marcus Camby,strained right shoulder (DNP)
221,2010-12-20,Clippers,,Craig Smith,back injury (out indefinitely)
222,2010-12-20,Hornets,,Willie Green,death in family (DNP)
223,2010-12-20,Spurs,,George Hill,sprained right big toe (DNP)
224,2010-12-20,Warriors,,Dan Gadzuric,strained left groin (DNP)
225,2010-12-20,Bucks,,Carlos Delfino,concussion (DNP)
226,2010-12-21,Bucks,,Carlos Delfino,concussion (DNP)
227,2010-12-21,Bucks,,Drew Gooden,sore left foot (DNP)
228,2010-12-21,Magic,,Malik Allen,sprained left ankle (DNP)
229,2010-12-21,Nets,,Quinton Ross,bruised lower back (DNP)
230,2010-12-21,Warriors,,Dan Gadzuric,strained left groin (DNP)
231,2010-12-22,Celtics,,Rajon Rondo,sprained left ankle (DNP)
232,2010-12-22,Nets,,Quinton Ross,bruised lower back (DNP)
233,2010-12-22,Nuggets,,Carmelo Anthony,placed on IL with death in family
234,2010-12-22,Raptors,,Jerryd Bayless,food poisoning (DNP)
235,2010-12-22,Raptors,,Sonny Weems,back spasms (DNP)
236,2010-12-22,Spurs,,George Hill,sprained right big toe (DNP)
237,2010-12-23,Bucks,,Carlos Delfino,concussion (DNP)
238,2010-12-23,Bucks,,Drew Gooden,sore left foot (DNP)
239,2010-12-23,Magic,,Daniel Orton,arthroscopic surgery on left knee (out for season)
240,2010-12-23,Spurs,,George Hill,sprained right big toe (DNP)
241,2010-12-25,Blazers,,Brandon Roy,sore left knee (DNP)
242,2010-12-25,Celtics,,Semih Erden,stomach virus (DTD)
243,2010-12-25,Magic,,Jason Williams,sore left foot (DNP)
244,2010-12-26,76ers,,Louis Williams / Lou Williams,placed on IL with birth of child
245,2010-12-27,76ers,,Andre Iguodala,right Achilles tendinitis (DNP)
246,2010-12-27,Blazers,,Brandon Roy,sore left knee (DNP)
247,2010-12-27,Bucks,,Drew Gooden,sore left foot (DNP)
248,2010-12-27,Magic,,Jason Williams,sore left foot (DNP)
249,2010-12-27,Raptors,,Sonny Weems,back spasms (DNP)
250,2010-12-28,Blazers,,Brandon Roy,sore left knee (DNP)
251,2010-12-28,Blazers,,Marcus Camby,sprained right ankle (P) / left ankle (CBC) (DNP)
252,2010-12-28,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
253,2010-12-28,Magic,,Jason Williams,sore left foot (DNP)
254,2010-12-28,Magic,,Quentin Richardson,flu-like symptoms (DNP)
255,2010-12-28,Raptors,,Jose Calderon,sore ankle (DNP)
256,2010-12-28,Raptors,,Sonny Weems,back spasms (DNP)
257,2010-12-29,76ers,Louis Williams / Lou Williams,,activated from IL
258,2010-12-29,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP)
259,2010-12-29,Celtics,,Semih Erden,upper respiratory infection (DNP)
260,2010-12-29,Hornets,Willie Green,,activated from IL
261,2010-12-29,Jazz,,C.J. Miles,flu-like symptoms (DNP)
262,2010-12-29,Nuggets,,Kenyon Martin,sore left knee (DNP)
263,2010-12-29,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,sore hamstring (DNP)
264,2010-12-30,Jazz,,C.J. Miles,flu (DNP)
265,2010-12-30,Jazz,,Mehmet Okur,strained lower back (DNP)
266,2010-12-30,Magic,,Jason Williams,sore left foot (DNP)
267,2010-12-30,Magic,,Quentin Richardson,flu-like symptoms (DNP)
268,2010-12-30,Rockets,,Chuck Hayes,sprained right ankle (out indefinitely)
269,2010-12-31,Cavaliers,,Anderson Varejao,fractured cheekbone (out indefinitely)
270,2010-12-31,Hawks,,Marvin Williams,bruised back (DTD)
271,2010-12-31,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
272,2010-12-31,Raptors,,Sonny Weems,back spasms (DNP)
273,2010-12-31,Warriors,,Brandan Wright,strained lower back (out indefinitely)
274,2010-12-31,Celtics,,Rajon Rondo,sprained left ankle (DNP)
275,2011-01-01,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
276,2011-01-01,Cavaliers,,Daniel Gibson,bruised left thigh (DNP)
277,2011-01-01,Cavaliers,,Maurice Williams / Mo Williams,strained left hip flexor (DNP)
278,2011-01-01,Grizzlies,,Rudy Gay,stomach virus (DNP)
279,2011-01-01,Grizzlies,,Xavier Henry,sore right knee (DNP)
280,2011-01-01,Jazz,,C.J. Miles,flu-like symptoms (DNP)
281,2011-01-01,Mavericks,,Shawn Marion,bruised thigh (DNP)
282,2011-01-01,Nets,,Jordan Farmar,bone bruise in right knee (DNP)
283,2011-01-01,Nuggets,Carmelo Anthony,,activated from IL
284,2011-01-02,Blazers,,Brandon Roy,sore left knee (DNP)
285,2011-01-02,Knicks,,Timofey Mozgov,shin injury (DTD)
286,2011-01-02,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
287,2011-01-02,Raptors,,Sonny Weems,back spasms (DNP)
288,2011-01-03,76ers,,Spencer Hawes,strained back (DNP)
289,2011-01-03,Knicks,,Danilo Gallinari,sprained left knee (out indefinitely)
290,2011-01-03,Pistons,,Chris Wilcox,groin injury (DTD)
291,2011-01-03,Warriors,Brandan Wright,,returned to lineup
292,2011-01-04,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
293,2011-01-04,Grizzlies,,O.J. Mayo,bronchitis (DNP)
294,2011-01-04,Grizzlies,,Xavier Henry,sore right knee (DNP)
295,2011-01-04,Mavericks,,Caron Butler,surgery on right knee to repair torn patella tendon (out for season)
296,2011-01-05,76ers,,Tony Battie,rotator cuff injury (DTD)
297,2011-01-05,Bobcats,,DeSagana Diop,surgery to repair ruptured right Achilles tendon (out for season)
298,2011-01-05,Bobcats,,Stephen Jackson,hyperextended left knee (DNP)
299,2011-01-05,Bucks,,Brandon Jennings,surgery on left foot (out indefinitely)
300,2011-01-05,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
301,2011-01-05,Jazz,,Paul Millsap,bruised right hip (DNP)
302,2011-01-06,Cavaliers,,Daniel Gibson,sprained left ankle (DTD)
303,2011-01-06,Suns,,Gani Lawal,torn ACL and partially torn MCL in right knee (out for season)
304,2011-01-07,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
305,2011-01-07,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
306,2011-01-07,Cavaliers,,Anderson Varejao,torn tendon in right ankle (out for season)
307,2011-01-07,Cavaliers,,Anthony Parker,strained lower back (DNP)
308,2011-01-07,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
309,2011-01-07,Rockets,,Yao Ming,surgery on left ankle to repair stress fracture (out for season)
310,2011-01-07,Raptors,,Sonny Weems,back spasms (DNP)
311,2011-01-08,Bucks,,Andrew Bogut,virus (DNP)
312,2011-01-08,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
313,2011-01-08,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP)
314,2011-01-08,Lakers,,Matt Barnes,torn cartilage in right knee (out indefinitely)
315,2011-01-08,Nets,,Devin Harris,bruised right quadriceps (DNP)
316,2011-01-09,Cavaliers,,Anthony Parker,strained lower back (DNP)
317,2011-01-09,Nuggets,,Ty Lawson,strained left knee (DNP)
318,2011-01-09,Raptors,,Sonny Weems,back spasms (DNP)
319,2011-01-10,Rockets,,Brad Miller,sore right knee (DNP)
320,2011-01-11,Cavaliers,,Anderson Varejao,torn tendon in right ankle (DNP)
321,2011-01-11,Cavaliers,,Anthony Parker,strained lower back (DNP)
322,2011-01-11,Knicks,,Anthony Randolph,flu-like symptoms (DNP)
323,2011-01-11,Lakers,,Matt Barnes,surgery on right knee to repair torn lateral meniscus (out indefinitely)
324,2011-01-12,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
325,2011-01-12,Celtics,,Jermaine O'Neal,sore left knee (DNP)
326,2011-01-12,Grizzlies,,Tony Allen,sore left knee (DNP)
327,2011-01-12,Nets,,Anthony Morrow,strained right hamstring (DNP)
328,2011-01-12,Rockets,,Brad Miller,sore right knee (DNP)
329,2011-01-12,Warriors,,Reggie Williams,Achilles tendon injury (DTD)
330,2011-01-13,Heat,,LeBron James,sprained left ankle (DNP)
331,2011-01-13,Wizards,,Andray Blatche,sprained right shoulder (DNP)
332,2011-01-14,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
333,2011-01-14,Cavaliers,,Christian Eyenga,sprained right ankle (DNP)
334,2011-01-14,Cavaliers,,Daniel Gibson,sprained left ankle (DNP)
335,2011-01-14,Celtics,,Jermaine O'Neal,sore left knee (DNP)
336,2011-01-14,Celtics,,Kevin Garnett,strained right leg (DNP)
337,2011-01-14,Knicks,,Ronny Turiaf,right hip pointer (DTD)
338,2011-01-14,Raptors,,Leandro Barbosa,strained right hamstring (DTD)
339,2011-01-14,Spurs,,Matt Bonner,sore right knee (DTD)
340,2011-01-14,Warriors,,Brandan Wright,strained lower back (DTD)
341,2011-01-14,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
342,2011-01-15,Cavaliers,,Christian Eyenga,sprained left ankle (DNP)
343,2011-01-15,Cavaliers,,Daniel Gibson,sprained right ankle (DNP)
344,2011-01-15,Cavaliers,,Joey Graham,strained right quadriceps (DNP)
345,2011-01-15,Cavaliers,,Ryan Hollins,personal reasons (DNP)
346,2011-01-15,Grizzlies,,Tony Allen,sore left knee (DNP)
347,2011-01-15,Hawks,,Etan Thomas,personal reasons (DTD)
348,2011-01-15,Nets,,Anthony Morrow,strained right hamstring (DNP)
349,2011-01-15,Raptors,,Jerryd Bayless,sore/sprained left ankle (DNP)
350,2011-01-15,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
351,2011-01-16,Spurs,,Matt Bonner,sore right knee (DNP)
352,2011-01-17,Blazers,,Brandon Roy,arthroscopic surgery on both knees (out indefinitely)
353,2011-01-17,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
354,2011-01-17,Bulls,,Carlos Boozer,sprained left ankle (DNP)
355,2011-01-17,Celtics,,Jermaine O'Neal,sore left knee (DNP)
356,2011-01-17,Grizzlies,,Tony Allen,sore left knee (DNP)
357,2011-01-17,Nets,,Anthony Morrow,strained right hamstring (DNP)
358,2011-01-17,Raptors,,Jerryd Bayless,sore left ankle (DNP)
359,2011-01-17,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
360,2011-01-17,Raptors,,Linas Kleiza,sore right knee (DNP)
361,2011-01-17,Rockets,,Patrick Patterson,upper respiratory distress / flu (DNP)
362,2011-01-18,Bulls,,Carlos Boozer,sprained left ankle (DNP)
363,2011-01-19,Bucks,,Brandon Jennings,recovering from surgery on left foot (DNP)
364,2011-01-19,Bucks,,John Salmons,sore right hip (DNP)
365,2011-01-19,Celtics,,Jermaine O'Neal,sore left knee (DNP)
366,2011-01-19,Grizzlies,,Tony Allen,sore left knee (DNP)
367,2011-01-19,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
368,2011-01-20,Bulls,,Carlos Boozer,sprained left ankle (DNP)
369,2011-01-20,Blazers,,Marcus Camby,arthroscopic surgery on left knee to repair torn meniscus
370,2011-01-20,Blazers,,Marcus Camby,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP)
371,2011-01-21,Bucks,,John Salmons,sore right hip (DNP)
372,2011-01-21,Celtics,,Jermaine O'Neal,sore left knee (DNP)
373,2011-01-21,Celtics,,Shaquille O'Neal,hip injury (DTD)
374,2011-01-21,Hornets,,Trevor Ariza,right ankle tendinitis / knee tendinitis (CBC) (DNP)
375,2011-01-21,Pistons,,Charlie Villanueva,sprained left ankle (DTD)
