,Date,Team,Acquired,Relinquished,Notes
0,2010-10-26,Blazers,,Elliot Williams,placed on IL
1,2010-10-26,Blazers,,Greg Oden,placed on IL with left knee injury (out for season)
2,2010-10-26,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon
3,2010-10-26,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle
4,2010-10-26,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL
5,2010-10-26,Celtics,,Luke Harangody,placed on IL
6,2010-10-26,Heat,,Dexter Pittman,placed on IL
7,2010-10-26,Heat,,Jerry Stackhouse,placed on IL
8,2010-10-26,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage
9,2010-10-26,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments
10,2010-10-26,Lakers,,Luke Walton,placed on IL with strained right hamstring
11,2010-10-26,Rockets,,Jermaine Taylor,placed on IL
12,2010-10-26,Rockets,,Kyle Lowry,placed on IL with back spasms
13,2010-10-26,Rockets,,Patrick Patterson,placed on IL
14,2010-10-26,Suns,,Gani Lawal,placed on IL
15,2010-10-26,Suns,,Matt Janning,placed on IL
16,2010-10-27,76ers,,Craig Brackins,placed on IL
17,2010-10-27,76ers,,Jodie Meeks,placed on IL
18,2010-10-27,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin
19,2010-10-27,Bobcats,,Eduardo Najera,placed on IL with sports hernia
20,2010-10-27,Bobcats,,Kwame Brown,placed on IL with sprained left ankle
21,2010-10-27,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury
22,2010-10-27,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL
23,2010-10-27,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger
24,2010-10-27,Cavaliers,,Christian Eyenga,placed on IL
25,2010-10-27,Cavaliers,,Maurice Williams / Mo Williams,placed on IL with groin injury
26,2010-10-27,Cavaliers,,Samardo Samuels,placed on IL
27,2010-10-27,Clippers,,Craig Smith,placed on IL with back injury
28,2010-10-27,Clippers,,Willie Warren,placed on IL
29,2010-10-27,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur
30,2010-10-27,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle
31,2010-10-27,Hawks,,Etan Thomas,placed on IL
32,2010-10-27,Hawks,,Pape Sy,placed on IL with strained lower back
33,2010-10-27,Heat,,Jamaal Magloire,placed on IL
34,2010-10-27,Heat,Jerry Stackhouse,,activated from IL
35,2010-10-27,Hornets,,Aaron Gray,placed on IL
36,2010-10-27,Hornets,,Joe Alexander,placed on IL
37,2010-10-27,Hornets,,Quincy Pondexter,placed on IL
38,2010-10-27,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon
39,2010-10-27,Kings,,Antoine Wright,placed on IL
40,2010-10-27,Kings,,Samuel Dalembert,placed on IL with strained left abductor
41,2010-10-27,Knicks,,Anthony Randolph,placed on IL with sprained left ankle
42,2010-10-27,Knicks,,Eddy Curry,placed on IL with strained right hamstring
43,2010-10-27,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee
44,2010-10-27,Mavericks,,Alexis Ajinca / Alex Ajinca,placed on IL
45,2010-10-27,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot
46,2010-10-27,Mavericks,,Steve Novak,placed on IL
47,2010-10-27,Nets,,Ben Uzoh,placed on IL
48,2010-10-27,Nets,,Quinton Ross,placed on IL
49,2010-10-27,Nets,,Troy Murphy,placed on IL with strained lower back
50,2010-10-27,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon
51,2010-10-27,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee
52,2010-10-27,Pacers,,A.J. Price,placed on IL
53,2010-10-27,Pacers,,Dahntay Jones,placed on IL
54,2010-10-27,Pacers,,Lance Stephenson,placed on IL
55,2010-10-27,Pistons,,Chris Wilcox,placed on IL with sore left hamstring
56,2010-10-27,Pistons,,Jonas Jerebko,placed on IL recovering from surgery to repair torn right Achilles tendon (out for season)
57,2010-10-27,Pistons,,Terrico White,placed on IL recovering from surgery on right foot to repair broken fifth metatarsal (out for season)
58,2010-10-27,Raptors,,Ed Davis (a),placed on IL recovering from arthroscopic surgery on right kene to repair torn meniscus
59,2010-10-27,Raptors,,Marcus Banks,placed on IL
60,2010-10-27,Raptors,,Solomon Alabi,placed on IL
61,2010-10-27,Rockets,,Yao Ming,placed on IL
62,2010-10-27,Rockets,Jermaine Taylor,,activated from IL
63,2010-10-27,Spurs,,Alonzo Gee,placed on IL
64,2010-10-27,Spurs,,Tiago Splitter,placed on IL with strained right plantaris muscle / calf injury (CBC)
65,2010-10-27,Thunder,,Byron Mullens / B.J. Mullens,placed on IL
66,2010-10-27,Thunder,,Morris Peterson,placed on IL
67,2010-10-27,Thunder,,Nick Collison,placed on IL with stress reaction in lower left leg
68,2010-10-27,Timberwolves,,Jonny Flynn,placed on IL recovering from surgery on left hip
69,2010-10-27,Timberwolves,,Martell Webster,placed on IL recovering from surgery on back
70,2010-10-27,Timberwolves,,Maurice Ager,placed on IL with bruised left quadriceps
71,2010-10-27,Warriors,,Ekpe Udoh,placed on IL recovering from surgery on left wrist
72,2010-10-27,Warriors,,Jeremy Lin,placed on IL
73,2010-10-27,Warriors,,Louis Amundson / Lou Amundson,placed on IL recovering from surgery to repair fractured right index finger
74,2010-10-28,Magic,,Daniel Orton,placed on IL
75,2010-10-28,Magic,,Malik Allen,placed on IL
76,2010-10-28,Wizards,,Gilbert Arenas,placed on IL with sprained right ankle
77,2010-10-28,Wizards,,Josh Howard,placed on IL with torn ACL in left knee
78,2010-10-28,Wizards,,Kevin Seraphin,placed on IL
79,2010-10-29,Cavaliers,Samardo Samuels,,activated from IL
80,2010-10-29,Celtics,,Jermaine O'Neal,placed on IL with left knee injury
81,2010-10-29,Celtics,Luke Harangody,,activated from IL
82,2010-10-29,Grizzlies,,Zach Randolph,placed on IL with bruised tailbone
83,2010-10-29,Grizzlies,Marc Gasol,,activated from IL
84,2010-10-29,Hawks,,Maurice Evans,placed on IL with right knee inflammation
85,2010-10-29,Hawks,Etan Thomas,,activated from IL
86,2010-10-29,Heat,,Juwan Howard,placed on IL
87,2010-10-29,Heat,Jamaal Magloire,,activated from IL
88,2010-10-29,Kings,,Eugene Jeter / Pooh Jeter,placed on IL
89,2010-10-29,Kings,,Hassan Whiteside,placed on IL
90,2010-10-29,Kings,Antoine Wright,,activated from IL
91,2010-10-29,Kings,Samuel Dalembert,,activated from IL
92,2010-10-29,Raptors,,Joey Dorsey,placed on IL
93,2010-10-29,Raptors,Marcus Banks,,activated from IL
94,2010-10-29,Warriors,,Jeff Adrien,placed on IL
95,2010-10-29,Warriors,Jeremy Lin,,activated from IL
96,2010-10-30,Cavaliers,,Samardo Samuels,placed on IL
97,2010-10-30,Grizzlies,,Xavier Henry,placed on IL
98,2010-10-30,Grizzlies,Greivis Vasquez,,activated from IL
99,2010-10-30,Pacers,,Jeff Foster,placed on IL
100,2010-10-30,Pacers,Dahntay Jones,,activated from IL
101,2010-10-30,Rockets,,Ishmael Smith / Ish Smith,placed on IL
102,2010-10-30,Rockets,Kyle Lowry,,activated from IL
103,2010-10-30,Rockets,Yao Ming,,activated from IL
104,2010-10-30,Spurs,,Matt Bonner,placed on IL with sprained right ankle
105,2010-10-30,Spurs,Alonzo Gee,,activated from IL
106,2010-10-30,Wizards,Kevin Seraphin,,activated from IL
107,2010-10-31,Clippers,,Randy Foye,placed on IL with strained left hamstring
108,2010-10-31,Clippers,Craig Smith,,activated from IL
109,2010-10-31,Warriors,,Stephen Curry,placed on IL with sprained right ankle
110,2010-10-31,Warriors,Jeff Adrien,,activated from IL
111,2010-11-01,Clippers,,Baron Davis,placed on IL with sore left knee
112,2010-11-01,Clippers,Willie Warren,,activated from IL
113,2010-11-01,Raptors,,Marcus Banks,placed on IL
114,2010-11-01,Raptors,Joey Dorsey,,activated from IL
115,2010-11-01,Spurs,,Alonzo Gee,placed on IL
116,2010-11-01,Spurs,Tiago Splitter,,activated from IL
117,2010-11-02,Blazers,,Patrick Mills / Patty Mills,placed on IL
118,2010-11-02,Blazers,Elliot Williams,,activated from IL
119,2010-11-02,Cavaliers,,Antawn Jamison,placed on IL with sore left knee
120,2010-11-02,Cavaliers,Maurice Williams / Mo Williams,,activated from IL
121,2010-11-02,Celtics,,Shaquille O'Neal,placed on IL with bruised right knee
122,2010-11-02,Celtics,Jermaine O'Neal,,activated from IL
123,2010-11-02,Grizzlies,,Greivis Vasquez,placed on IL
124,2010-11-02,Grizzlies,Xavier Henry,,activated from IL
125,2010-11-02,Heat,,Jamaal Magloire,placed on IL
126,2010-11-02,Heat,Juwan Howard,,activated from IL
127,2010-11-03,Grizzlies,,DeMarre Carroll,placed on IL
128,2010-11-03,Grizzlies,Greivis Vasquez,,activated from IL
129,2010-11-03,Hornets,,Predrag Stojakovic / Peja Stojakovic,placed on IL
130,2010-11-03,Hornets,Quincy Pondexter,,activated from IL
131,2010-11-03,Nets,,Joe Smith (Leynard),placed on IL
132,2010-11-03,Nets,,Stephen Graham,placed on IL
133,2010-11-03,Nets,Quinton Ross,,activated from IL
134,2010-11-03,Nets,Troy Murphy,,activated from IL
135,2010-11-03,Rockets,,Jermaine Taylor,placed on IL
136,2010-11-03,Rockets,Kyle Lowry,,activated from IL
137,2010-11-03,Spurs,,George Hill,placed on IL with neck injury
138,2010-11-03,Spurs,Alonzo Gee,,activated from IL
139,2010-11-03,Timberwolves,,Michael Beasley,placed on IL with bruised left hip
140,2010-11-03,Timberwolves,Maurice Ager,,activated from IL
141,2010-11-04,Blazers,Patrick Mills / Patty Mills,,activated from IL
142,2010-11-04,Knicks,,Shawne Williams,placed on IL
143,2010-11-04,Knicks,Anthony Randolph,,activated from IL
144,2010-11-05,Grizzlies,,Hamed Haddadi,placed on IL
145,2010-11-05,Grizzlies,Zach Randolph,,activated from IL
146,2010-11-05,Lakers,,Devin Ebanks,placed on IL
147,2010-11-05,Lakers,Luke Walton,,activated from IL
148,2010-11-05,Timberwolves,,Maurice Ager,placed on IL
149,2010-11-05,Timberwolves,Michael Beasley,,activated from IL
150,2010-11-05,Warriors,,Jeremy Lin,placed on IL
151,2010-11-05,Warriors,Stephen Curry,,activated from IL
152,2010-11-05,Wizards,Gilbert Arenas,,activated from IL
153,2010-11-06,Blazers,,Elliot Williams,"placed on IL with dislocated patella in right knee (surgery, out for season)"
154,2010-11-06,Heat,,Juwan Howard,placed on IL
155,2010-11-06,Heat,Jamaal Magloire,,activated from IL
156,2010-11-06,Kings,Eugene Jeter / Pooh Jeter,,activated from IL
157,2010-11-06,Kings,Hassan Whiteside,,activated from IL
158,2010-11-06,Magic,,Jameer Nelson,placed on IL with sprained left ankle
159,2010-11-06,Magic,Malik Allen,,activated from IL
160,2010-11-06,Raptors,,Sonny Weems,placed on IL with ankle injury
161,2010-11-06,Raptors,Marcus Banks,,activated from IL
162,2010-11-06,Rockets,,Kyle Lowry,placed on IL with sore back
163,2010-11-06,Rockets,,Yao Ming,placed on IL with foot injury / rest
164,2010-11-06,Rockets,Ishmael Smith / Ish Smith,,activated from IL
165,2010-11-06,Rockets,Jermaine Taylor,,activated from IL
166,2010-11-06,Spurs,George Hill,,activated from IL
167,2010-11-07,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury
168,2010-11-07,76ers,Jodie Meeks,,activated from IL
169,2010-11-07,Rockets,,Aaron Brooks,placed on IL with sprained left ankle
170,2010-11-07,Rockets,Yao Ming,,activated from IL
171,2010-11-07,Thunder,,Jeff Green,placed on IL with sprained left ankle
172,2010-11-07,Thunder,Morris Peterson,,activated from IL
173,2010-11-07,Timberwolves,,Lazar Hayward,placed on IL
174,2010-11-07,Timberwolves,Michael Beasley,,activated from IL (P)
175,2010-11-07,Warriors,,Jeff Adrien,placed on IL
176,2010-11-07,Warriors,Jeremy Lin,,activated from IL
177,2010-11-08,Raptors,,Joey Dorsey,placed on IL
178,2010-11-08,Raptors,Sonny Weems,,activated from IL
179,2010-11-08,Spurs,,Garrett Temple,placed on IL
180,2010-11-09,Cavaliers,,Manny Harris,placed on IL
181,2010-11-09,Cavaliers,Antawn Jamison,,activated from IL
182,2010-11-09,Clippers,,Eric Gordon,placed on IL with left shoulder injury
183,2010-11-09,Clippers,Baron Davis,,activated from IL
184,2010-11-09,Lakers,,Derrick Caracter,placed on IL
185,2010-11-09,Lakers,Devin Ebanks,,activated from IL
186,2010-11-09,Nets,,Terrence Williams,placed on IL with lower abdominal strain
187,2010-11-09,Nets,Stephen Graham,,activated from IL
188,2010-11-09,Timberwolves,,Luke Ridnour,placed on IL with strained hamstring
189,2010-11-09,Timberwolves,Lazar Hayward,,activated from IL
190,2010-11-10,76ers,Craig Brackins,,activated from IL
191,2010-11-10,Clippers,,Baron Davis,placed on IL with sore left knee
192,2010-11-10,Kings,,Eugene Jeter / Pooh Jeter,placed on IL
193,2010-11-10,Kings,,Hassan Whiteside,placed on IL
194,2010-11-10,Knicks,,Ronny Turiaf,placed on IL with sprained left knee
195,2010-11-10,Knicks,Shawne Williams,,activated from IL
196,2010-11-10,Magic,,Malik Allen,placed on IL
197,2010-11-10,Magic,Jameer Nelson,,activated from IL
198,2010-11-10,Mavericks,,Caron Butler,placed on IL with back spasms
199,2010-11-10,Mavericks,Steve Novak,,activated from IL
200,2010-11-10,Nets,,Stephen Graham,placed on IL
201,2010-11-10,Nets,,Troy Murphy,placed on IL with sore right foot
202,2010-11-10,Nets,Ben Uzoh,,activated from IL
203,2010-11-10,Nets,Joe Smith (Leynard),,activated from IL
204,2010-11-10,Raptors,,Leandro Barbosa,placed on IL with strained left shoulder
205,2010-11-10,Raptors,Joey Dorsey,,activated from IL
206,2010-11-10,Rockets,,Jermaine Taylor,placed on IL
207,2010-11-10,Rockets,Kyle Lowry,,activated from IL
208,2010-11-10,Warriors,,Dan Gadzuric,placed on IL with back spasms
209,2010-11-10,Warriors,Jeff Adrien,,activated from IL
210,2010-11-10,Wizards,,Kevin Seraphin,placed on IL
211,2010-11-10,Wizards,,Lester Hudson,placed on IL
212,2010-11-10,Clippers,Eric Gordon,,activated from IL
213,2010-11-11,Celtics,Shaquille O'Neal,,activated from IL
214,2010-11-11,Lakers,,Theo Ratliff,placed on IL with left knee tendinitis
215,2010-11-11,Lakers,Derrick Caracter,,activated from IL
216,2010-11-11,Warriors,Dan Gadzuric,,activated from IL
217,2010-11-12,76ers,,Craig Brackins,placed on IL
218,2010-11-12,76ers,,Darius Songaila,placed on IL
219,2010-11-12,76ers,Andre Iguodala,,activated from IL
220,2010-11-12,Clippers,,Chris Kaman,placed on IL with knee injury (P)
221,2010-11-12,Hawks,,Etan Thomas,placed on IL
222,2010-11-12,Hawks,Maurice Evans,,activated from IL
223,2010-11-12,Raptors,,David Andersen,placed on IL with flu
224,2010-11-12,Raptors,,Linas Kleiza,placed on IL with right Achilles tendinitis
225,2010-11-12,Raptors,Ed Davis (a),,activated from IL
226,2010-11-12,Raptors,Solomon Alabi,,activated from IL
227,2010-11-12,Rockets,,Yao Ming,placed on IL with sprained left ankle (later diagnosed as stress fracture in left ankle)
228,2010-11-12,Rockets,Jermaine Taylor,,activated from IL
229,2010-11-12,Thunder,Byron Mullens / B.J. Mullens,,activated from IL
230,2010-11-12,Clippers,Randy Foye,,activated from IL
231,2010-11-13,Bobcats,Eduardo Najera,,activated from IL
232,2010-11-13,Cavaliers,,Anderson Varejao,placed on IL with bruised ribs
233,2010-11-13,Cavaliers,,Maurice Williams / Mo Williams,placed on IL with strained left groin
234,2010-11-13,Cavaliers,Manny Harris,,activated from IL
235,2010-11-13,Cavaliers,Samardo Samuels,,activated from IL
236,2010-11-13,Heat,,Jamaal Magloire,placed on IL
237,2010-11-13,Heat,Juwan Howard,,activated from IL
238,2010-11-13,Hornets,,Marcus Thornton (T.),placed on IL
239,2010-11-13,Hornets,Predrag Stojakovic / Peja Stojakovic,,activated from IL
240,2010-11-13,Nets,,Joe Smith (Leynard),placed on IL
241,2010-11-13,Nets,Troy Murphy,,activated from IL
242,2010-11-13,Raptors,,Ed Davis (a),placed on IL
243,2010-11-13,Raptors,David Andersen,,activated from IL
244,2010-11-13,Spurs,,James Anderson,placed on IL with stress fracture in right foot
245,2010-11-13,Spurs,Matt Bonner,,activated from IL
246,2010-11-14,Lakers,,Steve Blake,placed on IL with stomach ache
247,2010-11-14,Lakers,Theo Ratliff,,activated from IL
248,2010-11-14,Pistons,,DaJuan Summers,placed on IL
249,2010-11-14,Pistons,Chris Wilcox,,activated from IL
250,2010-11-14,Thunder,,Byron Mullens / B.J. Mullens,placed on IL
251,2010-11-14,Thunder,,Daequan Cook,placed on IL
252,2010-11-14,Thunder,Jeff Green,,activated from IL
253,2010-11-14,Thunder,Nick Collison,,activated from IL
254,2010-11-15,Bobcats,,Gerald Henderson (b),placed on IL with sore left knee
255,2010-11-15,Bobcats,Kwame Brown,,activated from IL
256,2010-11-15,Magic,,J.J. Redick,placed on IL with back spasms
257,2010-11-15,Magic,Malik Allen,,activated from IL
258,2010-11-15,Nets,,Damion James,placed on IL
259,2010-11-15,Nets,Stephen Graham,,activated from IL
260,2010-11-15,Suns,,Robin Lopez,placed on IL with sprained ligaments in left knee
261,2010-11-15,Suns,Gani Lawal,,activated from IL
262,2010-11-15,Thunder,,Jeff Green,placed on IL with sprained left ankle
263,2010-11-16,76ers,,Andre Iguodala,placed on IL with right Achilles tendon injury
264,2010-11-16,76ers,Darius Songaila,,activated from IL
265,2010-11-16,Cavaliers,,Samardo Samuels,placed on IL
266,2010-11-16,Cavaliers,Anderson Varejao,,activated from IL
267,2010-11-16,Knicks,,Shawne Williams,placed on IL
268,2010-11-16,Knicks,Ronny Turiaf,,activated from IL
269,2010-11-16,Lakers,,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus
270,2010-11-16,Lakers,Steve Blake,,activated from IL
271,2010-11-16,Pacers,,Darren Collison,placed on IL with sprained left ankle
272,2010-11-16,Pacers,,Tyler Hansbrough,placed on IL with sprained left ankle
273,2010-11-16,Pacers,A.J. Price,,activated from IL
274,2010-11-16,Pacers,Jeff Foster,,activated from IL
275,2010-11-16,Raptors,,Solomon Alabi,placed on IL
276,2010-11-16,Raptors,Linas Kleiza,,activated from IL
277,2010-11-16,Wizards,,John Wall (a),placed on IL with sprained left foot
278,2010-11-16,Wizards,,Yi Jianlian / Jianlian Yi,placed on IL with bruised right knee
279,2010-11-16,Wizards,Hamady Ndiaye / Hamady N'Diaye,,activated from IL
280,2010-11-16,Wizards,Lester Hudson,,activated from IL
281,2010-11-17,Celtics,,Jermaine O'Neal,placed on IL
282,2010-11-17,Mavericks,,Steve Novak,placed on IL
283,2010-11-17,Mavericks,Caron Butler,,activated from IL
284,2010-11-17,Nets,,Ben Uzoh,placed on IL
285,2010-11-17,Nets,,Troy Murphy,placed on IL with sore right foot
286,2010-11-17,Nets,Joe Smith (Leynard),,activated from IL
287,2010-11-17,Nets,Terrence Williams,,activated from IL
288,2010-11-17,Thunder,,Cole Aldrich,placed on IL
289,2010-11-17,Thunder,Byron Mullens / B.J. Mullens,,activated from IL
290,2010-11-17,Timberwolves,,Nikola Pekovic,placed on IL with sprained left ankle
291,2010-11-17,Timberwolves,Luke Ridnour,,activated from IL
292,2010-11-18,Pacers,Tyler Hansbrough,,activated from IL
293,2010-11-19,Bobcats,,Eduardo Najera,placed on IL
294,2010-11-19,Bobcats,Kwame Brown,,activated from IL (P)
295,2010-11-19,Cavaliers,,Manny Harris,placed on IL
296,2010-11-19,Cavaliers,Maurice Williams / Mo Williams,,activated from IL
297,2010-11-19,Nets,,Terrence Williams,placed on IL
298,2010-11-19,Nets,Ben Uzoh,,activated from IL
299,2010-11-19,Thunder,,Kevin Durant,placed on IL with sprained left ankle
300,2010-11-19,Thunder,Daequan Cook,,activated from IL
301,2010-11-20,Bobcats,,Kwame Brown,placed on IL
302,2010-11-20,Bobcats,Dominic McGuire,,activated from IL
303,2010-11-20,Heat,,Dwyane Wade,placed on IL with sprained left wrist
304,2010-11-20,Heat,Jamaal Magloire,,activated from IL
305,2010-11-20,Magic,,Malik Allen,placed on IL
306,2010-11-20,Magic,J.J. Redick,,activated from IL
307,2010-11-20,Nets,,Quinton Ross,placed on IL with calf injury
308,2010-11-20,Nets,Terrence Williams,,activated from IL
309,2010-11-20,Pacers,,Dahntay Jones,placed on IL
310,2010-11-21,Celtics,,Rajon Rondo,placed on IL with strained left hamstring
311,2010-11-21,Celtics,Avery Bradley,,activated from IL
312,2010-11-21,Hornets,Marcus Thornton (T.),,activated from IL
313,2010-11-21,Kings,,Antoine Wright,placed on IL
314,2010-11-21,Kings,Eugene Jeter / Pooh Jeter,,activated from IL
315,2010-11-21,Raptors,Leandro Barbosa,,activated from IL
316,2010-11-21,Wizards,,Hamady Ndiaye / Hamady N'Diaye,placed on IL
317,2010-11-21,Wizards,John Wall (a),,activated from IL
318,2010-11-22,Heat,,Udonis Haslem,placed on IL with torn ligament in left foot (out for season)
319,2010-11-22,Heat,Dwyane Wade,,activated from IL
320,2010-11-22,Hornets,,David Andersen,placed on IL
321,2010-11-22,Hornets,,Marcus Banks,placed on IL
322,2010-11-22,Hornets,Aaron Gray,,activated from IL
323,2010-11-22,Nuggets,,Chauncey Billups,placed on IL with broken nose and sprained right wrist
324,2010-11-22,Nuggets,Chris Andersen,,activated from IL
325,2010-11-22,Pacers,,A.J. Price,placed on IL
326,2010-11-22,Pacers,,Jeff Foster,placed on IL
327,2010-11-22,Pacers,Dahntay Jones,,activated from IL
328,2010-11-22,Pacers,Darren Collison,,activated from IL
329,2010-11-22,Thunder,,Daequan Cook,placed on IL
330,2010-11-22,Thunder,,Morris Peterson,placed on IL
331,2010-11-22,Thunder,Jeff Green,,activated from IL
332,2010-11-22,Thunder,Kevin Durant,,activated from IL
333,2010-11-23,76ers,Andre Iguodala,,activated from IL
334,2010-11-23,Bobcats,,DeSagana Diop,placed on IL
335,2010-11-23,Bobcats,Kwame Brown,,activated from IL
336,2010-11-23,Nets,Damion James,,activated from IL
337,2010-11-23,Pacers,,Dahntay Jones,placed on IL
338,2010-11-23,Pacers,Jeff Foster,,activated from IL
339,2010-11-24,76ers,,Darius Songaila,placed on IL
340,2010-11-24,76ers,Craig Brackins,,activated from IL
341,2010-11-24,Hornets,,Pops Mensah-Bonsu,placed on IL
342,2010-11-24,Magic,,Vince Carter,placed on IL with sprained left knee
343,2010-11-24,Magic,Malik Allen,,activated from IL
344,2010-11-24,Thunder,,Byron Mullens / B.J. Mullens,placed on IL
345,2010-11-24,Thunder,Morris Peterson,,activated from IL
346,2010-11-25,Kings,,Francisco Garcia,placed on IL with illness
347,2010-11-25,Kings,Antoine Wright,,activated from IL
348,2010-11-25,Wizards,,Al Thornton,placed on IL with sprained left ankle
349,2010-11-25,Wizards,Hamady Ndiaye / Hamady N'Diaye,,activated from IL
350,2010-11-26,Bulls,,Derrick Rose,placed on IL with sore neck
351,2010-11-26,Celtics,,Delonte West,placed on IL withi broken right wrist
352,2010-11-26,Celtics,Rajon Rondo,,activated from IL
353,2010-11-26,Grizzlies,,Acie Law,placed on IL with flu
354,2010-11-26,Grizzlies,DeMarre Carroll,,activated from IL
355,2010-11-26,Mavericks,Alexis Ajinca / Alex Ajinca,,activated from IL
356,2010-11-26,Thunder,,Nenad Krstic,placed on IL with back spasms
357,2010-11-26,Thunder,Byron Mullens / B.J. Mullens,,activated from IL
358,2010-11-26,Mavericks,,Brendan Haywood,placed on IL for suspension
359,2010-11-27,76ers,,Craig Brackins,placed on IL
360,2010-11-27,76ers,Darius Songaila,,activated from IL
361,2010-11-27,Bucks,,Carlos Delfino,placed on IL witih strained neck
362,2010-11-27,Bucks,Chris Douglas-Roberts,,activated from IL
363,2010-11-27,Bulls,,John Lucas III,placed on IL
364,2010-11-27,Bulls,Derrick Rose,,activated from IL
365,2010-11-27,Mavericks,,Alexis Ajinca / Alex Ajinca,placed on IL
366,2010-11-27,Warriors,,Brandan Wright,placed on IL with strained lower back
367,2010-11-27,Warriors,David Lee,,activated from IL
368,2010-11-27,Mavericks,Brendan Haywood,,activated from IL
369,2010-11-28,Knicks,,Ronny Turiaf,placed on IL with sore left knee
370,2010-11-28,Knicks,Shawne Williams,,activated from IL
371,2010-11-28,Nets,,Joe Smith (Leynard),placed on IL
372,2010-11-28,Nets,Troy Murphy,,activated from IL
373,2010-11-28,Nuggets,,Renaldo Balkman,placed on IL
374,2010-11-28,Nuggets,Chauncey Billups,,activated from IL
375,2010-11-28,Pacers,,Paul George,placed on IL
376,2010-11-28,Pacers,Dahntay Jones,,activated from IL
377,2010-11-29,Hornets,,Aaron Gray,placed on IL
378,2010-11-29,Hornets,David Andersen,,activated from IL
379,2010-11-29,Thunder,,Byron Mullens / B.J. Mullens,placed on IL
380,2010-11-29,Thunder,Nenad Krstic,,activated from IL
381,2010-11-30,Grizzlies,,Darrell Arthur,placed on IL with strained left groin
382,2010-11-30,Grizzlies,Acie Law,,activated from IL
383,2010-11-30,Kings,Francisco Garcia,,activated from IL
384,2010-11-30,Magic,,Malik Allen,placed on IL
385,2010-11-30,Magic,Vince Carter,,activated from IL
386,2010-12-01,Bulls,,Brian Scalabrine,placed on IL
387,2010-12-01,Bulls,Carlos Boozer,,activated from IL
388,2010-12-01,Clippers,,Randy Foye,placed on IL with strained left hamstring
389,2010-12-01,Clippers,Baron Davis,,activated from IL
390,2010-12-01,Hawks,,Joe Johnson,placed on IL with loose particle in right elbow
391,2010-12-01,Hawks,Etan Thomas,,activated from IL
392,2010-12-01,Magic,,J.J. Redick,placed on IL with stomach virus
393,2010-12-01,Magic,Malik Allen,,activated from IL
394,2010-12-01,Mavericks,,Dominique Jones,placed on IL
395,2010-12-01,Mavericks,Steve Novak,,activated from IL
396,2010-12-01,Nets,,Devin Harris,placed on IL with sprained left knee
397,2010-12-01,Nets,Quinton Ross,,activated from IL
398,2010-12-01,Raptors,,Reggie Evans,placed on IL recovering from surgery to repair broken right foot
399,2010-12-01,Raptors,Ed Davis (a),,activated from IL
400,2010-12-01,Thunder,,Kevin Durant,placed on IL with sprained left knee
401,2010-12-01,Thunder,Byron Mullens / B.J. Mullens,,activated from IL
402,2010-12-01,Wizards,,Hamady Ndiaye / Hamady N'Diaye,placed on IL
403,2010-12-01,Wizards,Al Thornton,,activated from IL
404,2010-12-02,Clippers,Chris Kaman,,activated from IL
405,2010-12-03,76ers,,Darius Songaila,placed on IL
406,2010-12-03,76ers,Andre Iguodala,,activated from IL (P)
407,2010-12-03,Blazers,,Luke Babbitt,placed on IL
408,2010-12-03,Blazers,Joel Przybilla,,activated from IL
409,2010-12-03,Bobcats,,DeSagana Diop,placed on IL (P)
410,2010-12-03,Bulls,,Kurt Thomas,placed on IL
411,2010-12-03,Bulls,Brian Scalabrine,,activated from IL
412,2010-12-03,Clippers,,Willie Warren,placed on IL
413,2010-12-03,Grizzlies,,DeMarre Carroll,placed on IL
414,2010-12-03,Grizzlies,Darrell Arthur,,activated from IL
415,2010-12-03,Magic,,Mickael Pietrus,placed on IL with stomach flu
416,2010-12-03,Nuggets,,Melvin Ely,placed on IL
417,2010-12-03,Nuggets,Renaldo Balkman,,activated from IL
418,2010-12-03,Pacers,,Jeff Foster,placed on IL
419,2010-12-03,Pacers,A.J. Price,,activated from IL
420,2010-12-03,Wizards,,Nick Young,placed on IL with bruised left thigh
421,2010-12-03,Wizards,Yi Jianlian / Jianlian Yi,,activated from IL
422,2010-12-03,Magic,J.J. Redick,,activated from IL
