,Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
69,San Antonio Spurs,2009,regular,70,2010-03-24,0,Los Angeles Lakers,
70,San Antonio Spurs,2009,regular,71,2010-03-26,0,Cleveland Cavaliers,
71,San Antonio Spurs,2009,regular,72,2010-03-28,1,Boston Celtics,
72,San Antonio Spurs,2009,regular,73,2010-03-29,1,New Jersey Nets,
73,San Antonio Spurs,2009,regular,74,2010-03-31,0,Houston Rockets,
74,San Antonio Spurs,2009,regular,75,2010-04-02,0,Orlando Magic,
75,San Antonio Spurs,2009,regular,76,2010-04-04,1,Los Angeles Lakers,
76,San Antonio Spurs,2009,regular,77,2010-04-06,1,Sacramento Kings,
77,San Antonio Spurs,2009,regular,78,2010-04-07,1,Phoenix Suns,
78,San Antonio Spurs,2009,regular,79,2010-04-09,0,Memphis Grizzlies,
79,San Antonio Spurs,2009,regular,80,2010-04-10,1,Denver Nuggets,
80,San Antonio Spurs,2009,regular,81,2010-04-12,0,Minnesota Timberwolves,
81,San Antonio Spurs,2009,regular,82,2010-04-14,1,Dallas Mavericks,
82,San Antonio Spurs,2009,post,83,2010-04-18,1,Dallas Mavericks,
83,San Antonio Spurs,2009,post,84,2010-04-21,1,Dallas Mavericks,
84,San Antonio Spurs,2009,post,85,2010-04-23,0,Dallas Mavericks,
85,San Antonio Spurs,2009,post,86,2010-04-25,0,Dallas Mavericks,
86,San Antonio Spurs,2009,post,87,2010-04-27,1,Dallas Mavericks,
87,San Antonio Spurs,2009,post,88,2010-04-29,0,Dallas Mavericks,
88,San Antonio Spurs,2009,post,89,2010-05-03,1,Phoenix Suns,
89,San Antonio Spurs,2009,post,90,2010-05-05,1,Phoenix Suns,
90,San Antonio Spurs,2009,post,91,2010-05-07,0,Phoenix Suns,
91,San Antonio Spurs,2009,post,92,2010-05-09,0,Phoenix Suns,
92,San Antonio Spurs,2010,regular,1,2010-10-27,0,Indiana Pacers,
93,San Antonio Spurs,2010,regular,2,2010-10-30,0,New Orleans Hornets,
94,San Antonio Spurs,2010,regular,3,2010-11-01,1,Los Angeles Clippers,
95,San Antonio Spurs,2010,regular,4,2010-11-03,1,Phoenix Suns,
96,San Antonio Spurs,2010,regular,5,2010-11-06,0,Houston Rockets,OT
97,San Antonio Spurs,2010,regular,6,2010-11-08,1,Charlotte Bobcats,
98,San Antonio Spurs,2010,regular,7,2010-11-10,0,Los Angeles Clippers,
99,San Antonio Spurs,2010,regular,8,2010-11-13,0,Philadelphia 76ers,
100,San Antonio Spurs,2010,regular,9,2010-11-14,1,Oklahoma City Thunder,
101,San Antonio Spurs,2010,regular,10,2010-11-17,0,Chicago Bulls,
102,San Antonio Spurs,2010,regular,11,2010-11-19,1,Utah Jazz,
103,San Antonio Spurs,2010,regular,12,2010-11-20,0,Cleveland Cavaliers,
104,San Antonio Spurs,2010,regular,13,2010-11-22,0,Orlando Magic,
105,San Antonio Spurs,2010,regular,14,2010-11-24,1,Minnesota Timberwolves,OT
106,San Antonio Spurs,2010,regular,15,2010-11-26,0,Dallas Mavericks,
107,San Antonio Spurs,2010,regular,16,2010-11-28,1,New Orleans Hornets,
108,San Antonio Spurs,2010,regular,17,2010-11-30,1,Golden State Warriors,
109,San Antonio Spurs,2010,regular,18,2010-12-01,1,Los Angeles Clippers,
110,San Antonio Spurs,2010,regular,19,2010-12-03,0,Minnesota Timberwolves,
111,San Antonio Spurs,2010,regular,20,2010-12-05,0,New Orleans Hornets,
112,San Antonio Spurs,2010,regular,21,2010-12-08,0,Golden State Warriors,
113,San Antonio Spurs,2010,regular,22,2010-12-10,0,Atlanta Hawks,
114,San Antonio Spurs,2010,regular,23,2010-12-12,0,Portland Trail Blazers,
115,San Antonio Spurs,2010,regular,24,2010-12-15,0,Milwaukee Bucks,
116,San Antonio Spurs,2010,regular,25,2010-12-16,1,Denver Nuggets,
117,San Antonio Spurs,2010,regular,26,2010-12-18,0,Memphis Grizzlies,OT
118,San Antonio Spurs,2010,regular,27,2010-12-20,0,Phoenix Suns,
119,San Antonio Spurs,2010,regular,28,2010-12-22,0,Denver Nuggets,
120,San Antonio Spurs,2010,regular,29,2010-12-23,1,Orlando Magic,
121,San Antonio Spurs,2010,regular,30,2010-12-26,0,Washington Wizards,
122,San Antonio Spurs,2010,regular,31,2010-12-28,0,Los Angeles Lakers,
123,San Antonio Spurs,2010,regular,32,2010-12-30,1,Dallas Mavericks,
124,San Antonio Spurs,2010,regular,33,2011-01-01,0,Oklahoma City Thunder,
125,San Antonio Spurs,2010,regular,34,2011-01-04,1,New York Knicks,
126,San Antonio Spurs,2010,regular,35,2011-01-05,1,Boston Celtics,
127,San Antonio Spurs,2010,regular,36,2011-01-07,1,Indiana Pacers,
128,San Antonio Spurs,2010,regular,37,2011-01-09,0,Minnesota Timberwolves,
129,San Antonio Spurs,2010,regular,38,2011-01-11,1,Minnesota Timberwolves,
130,San Antonio Spurs,2010,regular,39,2011-01-12,1,Milwaukee Bucks,
131,San Antonio Spurs,2010,regular,40,2011-01-14,0,Dallas Mavericks,
132,San Antonio Spurs,2010,regular,41,2011-01-16,0,Denver Nuggets,
133,San Antonio Spurs,2010,regular,42,2011-01-19,0,Toronto Raptors,
134,San Antonio Spurs,2010,regular,43,2011-01-21,0,New York Knicks,
135,San Antonio Spurs,2010,regular,44,2011-01-22,1,New Orleans Hornets,
136,San Antonio Spurs,2010,regular,45,2011-01-24,1,Golden State Warriors,
137,San Antonio Spurs,2010,regular,46,2011-01-26,1,Utah Jazz,
138,San Antonio Spurs,2010,regular,47,2011-01-29,0,Houston Rockets,
139,San Antonio Spurs,2010,regular,48,2011-02-01,1,Portland Trail Blazers,
140,San Antonio Spurs,2010,regular,49,2011-02-03,1,Los Angeles Lakers,
141,San Antonio Spurs,2010,regular,50,2011-02-04,1,Sacramento Kings,
142,San Antonio Spurs,2010,regular,51,2011-02-08,1,Detroit Pistons,
143,San Antonio Spurs,2010,regular,52,2011-02-09,1,Toronto Raptors,
144,San Antonio Spurs,2010,regular,53,2011-02-11,1,Philadelphia 76ers,
145,San Antonio Spurs,2010,regular,54,2011-02-12,1,Washington Wizards,
146,San Antonio Spurs,2010,regular,55,2011-02-14,1,New Jersey Nets,
147,San Antonio Spurs,2010,regular,56,2011-02-17,1,Chicago Bulls,
148,San Antonio Spurs,2010,regular,57,2011-02-23,0,Oklahoma City Thunder,
149,San Antonio Spurs,2010,regular,58,2011-02-25,0,New Jersey Nets,
150,San Antonio Spurs,2010,regular,59,2011-02-27,0,Memphis Grizzlies,
151,San Antonio Spurs,2010,regular,60,2011-03-01,1,Memphis Grizzlies,
152,San Antonio Spurs,2010,regular,61,2011-03-02,1,Cleveland Cavaliers,
153,San Antonio Spurs,2010,regular,62,2011-03-04,0,Miami Heat,
154,San Antonio Spurs,2010,regular,63,2011-03-06,0,Los Angeles Lakers,
155,San Antonio Spurs,2010,regular,64,2011-03-09,0,Detroit Pistons,
156,San Antonio Spurs,2010,regular,65,2011-03-11,0,Sacramento Kings,
157,San Antonio Spurs,2010,regular,66,2011-03-12,1,Houston Rockets,
158,San Antonio Spurs,2010,regular,67,2011-03-14,1,Miami Heat,
159,San Antonio Spurs,2010,regular,68,2011-03-18,1,Dallas Mavericks,
160,San Antonio Spurs,2010,regular,69,2011-03-19,0,Charlotte Bobcats,
161,San Antonio Spurs,2010,regular,70,2011-03-21,0,Golden State Warriors,
162,San Antonio Spurs,2010,regular,71,2011-03-23,1,Denver Nuggets,
163,San Antonio Spurs,2010,regular,72,2011-03-25,1,Portland Trail Blazers,
164,San Antonio Spurs,2010,regular,73,2011-03-27,1,Memphis Grizzlies,
165,San Antonio Spurs,2010,regular,74,2011-03-28,0,Portland Trail Blazers,
166,San Antonio Spurs,2010,regular,75,2011-03-31,0,Boston Celtics,
167,San Antonio Spurs,2010,regular,76,2011-04-01,1,Houston Rockets,OT
168,San Antonio Spurs,2010,regular,77,2011-04-03,0,Phoenix Suns,
169,San Antonio Spurs,2010,regular,78,2011-04-05,1,Atlanta Hawks,
170,San Antonio Spurs,2010,regular,79,2011-04-06,0,Sacramento Kings,
171,San Antonio Spurs,2010,regular,80,2011-04-09,0,Utah Jazz,
172,San Antonio Spurs,2010,regular,81,2011-04-12,1,Los Angeles Lakers,
173,San Antonio Spurs,2010,regular,82,2011-04-13,1,Phoenix Suns,
174,San Antonio Spurs,2010,post,83,2011-04-17,0,Memphis Grizzlies,
175,San Antonio Spurs,2010,post,84,2011-04-20,0,Memphis Grizzlies,
176,San Antonio Spurs,2010,post,85,2011-04-23,1,Memphis Grizzlies,
177,San Antonio Spurs,2010,post,86,2011-04-25,1,Memphis Grizzlies,
178,San Antonio Spurs,2010,post,87,2011-04-27,0,Memphis Grizzlies,OT
179,San Antonio Spurs,2010,post,88,2011-04-29,1,Memphis Grizzlies,
180,San Antonio Spurs,2011,regular,1,2011-12-26,0,Memphis Grizzlies,
181,San Antonio Spurs,2011,regular,2,2011-12-28,0,Los Angeles Clippers,
182,San Antonio Spurs,2011,regular,3,2011-12-29,1,Houston Rockets,
183,San Antonio Spurs,2011,regular,4,2011-12-31,0,Utah Jazz,
184,San Antonio Spurs,2011,regular,5,2012-01-02,1,Minnesota Timberwolves,
